id,name,full_name,url,stars,forks
507775,elasticsearch,elastic/elasticsearch,https://github.com/elastic/elasticsearch,74988,25543
669879380,LLMs-from-scratch,rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,74942,10962
203587744,hoppscotch,hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,74905,5260
641656392,union,unionlabs/union,https://github.com/unionlabs/union,74574,3840
13807606,fzf,junegunn/fzf,https://github.com/junegunn/fzf,74265,2589
172953845,code-server,coder/code-server,https://github.com/coder/code-server,74159,6262
83999700,Best-websites-a-programmer-should-visit,sdmg15/Best-websites-a-programmer-should-visit,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,74129,8455
695864515,Deep-Live-Cam,hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,73916,10770
44571718,awesome-vue,vuejs/awesome-vue,https://github.com/vuejs/awesome-vue,73301,9475
80945428,nest,nestjs/nest,https://github.com/nestjs/nest,72977,8050
101138315,d2l-zh,d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,72921,11921
896335270,awesome-mcp-servers,punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,72331,6011
523379232,stable-diffusion,CompVis/stable-diffusion,https://github.com/CompVis/stable-diffusion,71565,10507
793375104,awesome-llm-apps,Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,71508,9201
107111421,Front-End-Checklist,thedaviddias/Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,71483,6589
156018,redis,redis/redis,https://github.com/redis/redis,71141,24273
246335987,Ventoy,ventoy/Ventoy,https://github.com/ventoy/Ventoy,71100,4508
881458615,browser-use,browser-use/browser-use,https://github.com/browser-use/browser-use,71003,8366
718741813,screenshot-to-code,abi/screenshot-to-code,https://github.com/abi/screenshot-to-code,70956,8793
7691631,moby,moby/moby,https://github.com/moby/moby,70886,18824
71220757,PayloadsAllTheThings,swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,70692,16050
596892,flask,pallets/flask,https://github.com/pallets/flask,70519,16554
15111821,grafana,grafana/grafana,https://github.com/grafana/grafana,70273,13048
22670857,awesome-react,enaqx/awesome-react,https://github.com/enaqx/awesome-react,70242,7437
22887094,tesseract,tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,70147,10276
21872392,awesome-machine-learning,josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,70081,15104
71583602,cs-video-courses,Developer-Y/cs-video-courses,https://github.com/Developer-Y/cs-video-courses,69981,9401
43441403,strapi,strapi/strapi,https://github.com/strapi/strapi,69903,9044
890668799,servers,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,69876,8305
1861458,reveal.js,hakimel/reveal.js,https://github.com/hakimel/reveal.js,69665,16755
699532645,uv,astral-sh/uv,https://github.com/astral-sh/uv,69509,2095
162998479,sherlock,sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,69337,8097
616372661,gpt_academic,binary-husky/gpt_academic,https://github.com/binary-husky/gpt_academic,69309,8374
23357588,protobuf,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,69258,15898
81598961,cpython,python/cpython,https://github.com/python/cpython,69248,33048
54544023,new-pac,Alvin9999/new-pac,https://github.com/Alvin9999/new-pac,69236,10406
44838949,swift,swiftlang/swift,https://github.com/swiftlang/swift,69121,10559
26898879,awesome-public-datasets,awesomedata/awesome-public-datasets,https://github.com/awesomedata/awesome-public-datasets,68936,10748
22067521,imgui,ocornut/imgui,https://github.com/ocornut/imgui,68645,11245
578822531,localsend,localsend/localsend,https://github.com/localsend/localsend,68565,3679
596115135,node,base/node,https://github.com/base/node,68559,2836
594155488,Stirling-PDF,Stirling-Tools/Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,68468,5795
39464018,superset,apache/superset,https://github.com/apache/superset,68418,15949
468576060,openai-cookbook,openai/openai-cookbook,https://github.com/openai/openai-cookbook,68395,11414
237159,express,expressjs/express,https://github.com/expressjs/express,67947,21128
419347358,cs-self-learning,PKUFlyingPig/cs-self-learning,https://github.com/PKUFlyingPig/cs-self-learning,67886,7631
619859161,the-algorithm,twitter/the-algorithm,https://github.com/twitter/the-algorithm,67552,12596
13233158,obs-studio,obsproject/obs-studio,https://github.com/obsproject/obs-studio,67325,8717
29207621,caddy,caddyserver/caddy,https://github.com/caddyserver/caddy,67210,4501
21935031,awesome-cpp,fffaraz/awesome-cpp,https://github.com/fffaraz/awesome-cpp,66926,8118
340547520,zed,zed-industries/zed,https://github.com/zed-industries/zed,66888,5492
3638964,ansible,ansible/ansible,https://github.com/ansible/ansible,66692,24105
